pickup_timestring,Passenger_count,Trip_distance,Total_amount,response_variable
01/01/2016,91243,207873.29000000146,979082.4400008422,64396
01/02/2016,64687,133957.8700000005,656240.8500000705,46958
01/03/2016,60679,129856.67999999963,633191.6900000386,44270
01/04/2016,59229,112022.19000000089,603734.2999999522,43740
01/05/2016,56470,110158.19999999898,593993.7899999429,42342
01/06/2016,56768,111617.66000000066,594275.0399999436,42025
01/07/2016,57851,115772.19999999966,609830.0999999667,42811
01/08/2016,68983,138444.69000000056,732898.9000002407,50987
01/09/2016,78346,163941.7499999976,821240.720000423,56861
01/10/2016,69068,147130.21999999954,719753.7100002286,49877
01/11/2016,55954,110937.08999999994,585793.5899999221,41603
01/12/2016,54807,107812.15000000049,589505.2699999375,41124
01/13/2016,62067,118111.25000000029,648550.8600000491,45839
01/14/2016,61792,124869.4200000004,663275.930000088,45846
01/15/2016,70679,147457.8299999995,784792.6600003412,52719
01/16/2016,82671,173742.86999999813,868727.8100005069,59626
01/17/2016,73525,154419.3000000004,758297.9100003265,52803
01/18/2016,52941,105593.4700000003,529132.2299997939,38913
01/19/2016,59035,113673.08999999982,616183.7199999946,43963
01/20/2016,58591,114470.56000000017,621652.2600000057,43734
01/21/2016,65817,127637.12000000048,694884.5500001629,48606
01/22/2016,77719,151360.41999999888,821724.9300004547,57552
01/23/2016,15619,30157.49999999998,157113.839999996,11031
01/24/2016,29632,61623.329999999696,316964.3899999117,22010
01/25/2016,57874,116195.44000000061,661950.6400001035,42944
01/26/2016,59153,117366.48999999888,664401.2600001153,44321
01/27/2016,61343,118905.53999999924,669184.1300001041,45792
01/28/2016,63578,126595.54999999986,696314.9300001673,47519
01/29/2016,77515,152267.67999999956,828673.9500004557,57370
01/30/2016,90012,185640.40999999997,952531.4400007005,65415
01/31/2016,72860,155316.3500000002,763774.7800003337,52288
02/01/2016,56760,115157.56000000043,607119.1599999708,42456
02/02/2016,56802,111708.3399999995,599142.2399999466,42445
02/03/2016,61527,118138.7800000011,646520.8500000462,46115
02/04/2016,64115,128408.57999999897,687525.5200001501,48063
02/05/2016,73872,144912.56000000006,771607.6100003325,55521
02/06/2016,88898,184070.12000000014,931070.280000656,64640
02/07/2016,77930,169067.75999999943,820081.8600003922,56269
02/08/2016,56009,112242.9700000004,579413.7899999114,41975
02/09/2016,55525,108864.71000000008,581277.2699999079,41629
02/10/2016,63572,121944.5799999993,654203.2300000769,47315
02/11/2016,75557,143563.6999999995,778718.1800003685,56100
02/12/2016,81818,164982.78999999963,893367.3700006362,61363
02/13/2016,96781,193874.2599999989,981537.6600008054,70652
02/14/2016,79653,163332.31999999972,808270.0400004255,57902
02/15/2016,59777,122547.27999999972,613726.7100000044,44269
02/16/2016,56577,115778.80999999985,606423.8099999737,42679
02/17/2016,61419,122081.8700000005,640903.9600000378,45466
02/18/2016,68043,135100.91999999958,714759.8700002147,50612
02/19/2016,77557,157249.54000000178,818797.3900004306,57004
02/20/2016,91715,195990.72000000044,976017.6900007442,66513
02/21/2016,76718,164995.490000001,801092.0600004419,55142
02/22/2016,54949,111318.81999999969,578685.2699999082,41179
02/23/2016,66157,123175.20000000077,677710.4900001227,49523
02/24/2016,65704,127028.63000000012,695422.560000177,49668
02/25/2016,69133,136302.6499999998,740119.4700002797,51493
02/26/2016,81222,161747.52000000075,868853.5300005705,60253
02/27/2016,93069,193095.29000000015,973634.9400007473,67411
02/28/2016,74122,162666.9200000005,790971.2300004031,53739
02/29/2016,58116,119630.84000000003,621695.9200000111,43326
03/01/2016,59861,120548.13999999924,638145.4300000316,45349
03/02/2016,65971,127462.75000000063,685845.9200001649,49331
03/03/2016,70798,140113.44,750168.0300002784,52983
03/04/2016,78742,158522.47999999937,843993.2600005133,58737
03/05/2016,93662,195342.6799999998,977770.6700007921,68122
03/06/2016,73781,159735.80000000095,780779.5800003798,53538
03/07/2016,55040,113806.4199999999,592023.789999933,41294
03/08/2016,56818,115951.0999999998,618263.8299999796,43023
03/09/2016,60132,123670.28000000013,659610.4200000842,45284
03/10/2016,65350,136865.5900000002,723118.5600002297,48983
03/11/2016,77329,162793.029999998,859602.2300005365,57954
03/12/2016,92958,200718.00999999762,996991.6500007885,67200
03/13/2016,71803,159231.04999999818,768137.4300003705,51739
03/14/2016,61845,121617.34000000058,649736.5800000906,46516
03/15/2016,56050,114865.34999999883,608396.4899999732,42507
03/16/2016,62242,127350.35000000059,678171.2300001318,46890
03/17/2016,67695,139046.5600000008,741719.9700002596,50797
03/18/2016,77073,160031.67000000042,853243.4900005162,57699
03/19/2016,88486,187565.14999999883,940156.9400006704,64359
03/20/2016,77077,164935.57000000097,806439.9200004499,55616
03/21/2016,55937,114287.49000000017,587846.1099999315,41736
03/22/2016,57644,117567.36000000084,624224.7800000116,43293
03/23/2016,59453,122496.90000000072,647448.6500000593,44630
03/24/2016,69085,141777.08999999886,756822.3200003122,51454
03/25/2016,70783,148096.7099999983,759499.9300003063,51883
03/26/2016,86970,180725.93000000177,902502.7700006441,62613
03/27/2016,74158,160032.8899999992,775169.6800003638,53237
03/28/2016,55824,114030.52999999952,595649.7299999554,41635
03/29/2016,58665,116387.16999999998,619720.7800000005,43788
03/30/2016,61665,124050.39,661591.7500000949,46051
03/31/2016,64577,134785.58000000022,712778.6200001907,48152
04/01/2016,76386,157750.4199999985,843861.8900004663,57024
04/02/2016,91551,191920.47000000297,961119.9200006939,66097
04/03/2016,77870,163599.28000000012,806340.9500004456,56100
04/04/2016,62950,121435.57000000123,655061.8500000809,46640
04/05/2016,63962,127697.75999999995,700769.4200001828,47499
04/06/2016,61963,123219.22000000036,668496.5100000999,46256
04/07/2016,65302,131687.67000000027,709234.2400001781,48454
04/08/2016,79250,163386.0700000001,881104.6300005447,58818
04/09/2016,95573,196972.78999999986,989143.8500007702,68654
04/10/2016,77738,172132.73000000135,843467.9700004974,56024
04/11/2016,57213,118962.20999999928,621524.4200000004,42216
04/12/2016,59306,117838.8300000002,637529.1800000235,44189
04/13/2016,61751,123269.40000000036,665252.8200000968,45542
04/14/2016,65687,133872.25999999896,717881.6600002085,48868
04/15/2016,77480,159736.8700000004,858363.480000512,57218
04/16/2016,93887,203003.87999999968,1024187.6500008161,67849
04/17/2016,79110,174450.45999999906,855175.1000005031,56261
04/18/2016,55293,120038.74999999936,622933.7800000196,41263
04/19/2016,56172,113883.35999999914,615982.4499999924,41894
04/20/2016,60213,122795.51999999961,664326.8800000838,45197
04/21/2016,63229,131605.86000000057,721223.8400002088,47334
04/22/2016,72978,151849.01000000024,814518.2100004306,53773
04/23/2016,86891,185000.9199999985,925602.1700006142,62011
04/24/2016,74129,162232.17000000103,786376.4000003723,52698
04/25/2016,51021,109821.09000000071,560448.1299998704,37857
04/26/2016,57127,114858.40999999933,601662.6799999484,42528
04/27/2016,57769,119025.1600000006,621882.0299999898,42607
04/28/2016,61454,126670.66999999978,662785.3400000815,45585
04/29/2016,75048,152406.79999999914,803849.3200003877,55564
04/30/2016,86494,186787.56999999937,933650.7900006115,61905
05/01/2016,72196,156907.81000000023,767827.630000307,51976
05/02/2016,54557,114178.67000000077,590924.3599999477,40595
05/03/2016,59738,118566.75999999922,642699.4600000475,44265
05/04/2016,61964,123134.33000000003,679982.500000131,46171
05/05/2016,67823,139158.92000000025,756008.8300002824,50559
05/06/2016,81255,166756.57000000033,903620.2000005248,60060
05/07/2016,92581,201799.21999999892,1011704.1000007832,67447
05/08/2016,79782,178471.0999999995,866297.8000005538,57984
05/09/2016,53625,114287.62000000034,598240.289999971,40281
05/10/2016,54938,112067.23000000026,601193.02999997,41134
05/11/2016,56948,117717.94999999905,631453.8700000248,42589
05/12/2016,64713,136004.5200000008,739275.1500002474,48427
05/13/2016,75238,154497.07000000053,849417.3000004659,55685
05/14/2016,93623,205096.3099999976,1037366.6600008114,67398
05/15/2016,79935,177905.9600000002,870188.1300005361,57551
05/16/2016,55224,118209.62999999936,618144.4200000096,41273
05/17/2016,59338,128095.57000000085,679427.7700000871,43709
05/18/2016,62461,131488.11999999962,716946.4500001747,46099
05/19/2016,65701,142292.32999999975,760294.3700002589,48593
05/20/2016,74782,160322.57999999876,861883.770000496,55470
05/21/2016,93231,208809.99999999956,1052936.4700008382,67758
05/22/2016,72697,167561.93000000043,805123.1700003725,52573
05/23/2016,51893,111714.5100000001,580929.5899999357,39268
05/24/2016,55247,112913.0000000005,606029.6699999896,40960
05/25/2016,60074,124067.69000000009,675538.0500001158,44759
05/26/2016,64301,134074.81000000102,726551.3400002448,47878
05/27/2016,71204,150754.16000000085,796495.9500003888,52707
05/28/2016,79700,173794.0699999995,844021.0900004897,57265
05/29/2016,69454,159052.15999999957,754162.0400002624,50109
05/30/2016,50893,113169.28999999928,542112.9699998476,37049
05/31/2016,52736,110496.4700000005,584673.7099999284,39387
06/01/2016,57074,116315.72999999946,636550.1400000462,42869
06/02/2016,62205,126604.44999999915,692569.9000001565,46339
06/03/2016,73310,153725.99000000066,830226.0400004508,54391
06/04/2016,91638,201974.0099999996,1016854.3200007811,66186
06/05/2016,71515,158555.08000000028,774011.000000363,51552
06/06/2016,51430,111658.4899999999,587074.3299999303,38993
06/07/2016,54937,110403.18000000136,602225.859999949,40615
06/08/2016,63948,126279.23999999945,704440.9900001654,47278
06/09/2016,60861,126539.70000000035,684352.080000137,45042
06/10/2016,68311,142735.58999999883,775843.1000003351,50795
06/11/2016,82212,176597.56999999678,884547.4000005525,59278
06/12/2016,67568,148714.3799999993,722620.0000002299,48480
06/13/2016,50385,106451.61000000002,551112.8099998347,37941
06/14/2016,50836,106105.76000000043,571204.7299998935,37737
06/15/2016,56825,116904.22000000041,637574.4300000111,42177
06/16/2016,61928,130307.30000000013,707044.9700001673,45686
06/17/2016,71084,149135.20999999874,796310.0700003719,52327
06/18/2016,84386,183677.11999999644,917346.3200006178,60909
06/19/2016,73315,162100.00000000163,782436.610000373,52528
06/20/2016,51161,108542.65999999957,569242.4099998937,38499
06/21/2016,52901,109718.40999999993,591937.7099999196,39289
06/22/2016,56279,116398.39999999956,635527.9300000379,41869
06/23/2016,61091,125470.40999999891,681536.5000001163,45032
06/24/2016,68580,142803.08999999994,771705.3800003207,50677
06/25/2016,81539,179813.1100000005,898196.1000005506,58952
06/26/2016,70877,161433.94000000015,784668.8800003382,51363
06/27/2016,53732,112761.02000000035,588978.9399999421,39832
06/28/2016,50444,103470.85999999919,556687.9299998631,37497
06/29/2016,51045,106887.81999999989,574633.3799999015,38168
06/30/2016,57060,122633.76999999983,662007.8500000701,42425
07/01/2016,65050,135366.53000000064,720248.1900002313,48322
07/02/2016,63570,141278.76999999906,682124.9500001144,46427
07/03/2016,56707,126617.62000000005,599274.3299999501,41278
07/04/2016,51951,115549.21000000024,568536.3599998999,37722
07/05/2016,48966,103176.22999999969,532343.0099998121,36540
07/06/2016,39620,84635.6099999995,437149.4199998384,30339
07/07/2016,52002,108393.91000000032,578297.3499998893,39134
07/08/2016,61784,127805.28000000068,688047.3700001158,45842
07/09/2016,72682,156814.3999999991,781692.6600003137,52710
07/10/2016,62039,138260.1099999999,668730.3500001148,44746
07/11/2016,45841,97469.15999999981,510231.45999980666,34316
07/12/2016,46779,97952.86999999995,525957.8899998078,34946
07/13/2016,52337,108916.33000000089,584287.149999918,38870
07/14/2016,56542,116966.36000000025,634524.4300000294,42025
07/15/2016,65729,138778.5899999997,747969.2400002583,48453
07/16/2016,77892,169604.54000000047,853816.3800004752,56296
07/17/2016,66405,147988.6499999996,715913.6300002034,48064
07/18/2016,50555,105346.72000000015,552508.2999998596,37181
07/19/2016,47606,98600.69999999927,535486.3599998236,35325
07/20/2016,51046,107186.34000000037,572014.4999998976,37829
07/21/2016,56310,116695.30000000006,635384.3200000273,41383
07/22/2016,66188,139687.71999999962,743681.1900002374,48816
07/23/2016,75637,166431.77999999703,827988.4500004018,54436
07/24/2016,64618,145960.6600000011,703206.3300001874,46205
07/25/2016,51245,106693.83000000057,565290.7399998868,37987
07/26/2016,49594,104401.49999999959,557115.5299998652,36576
07/27/2016,52684,109267.6700000001,575980.1399999012,38636
07/28/2016,58555,120206.10999999967,645516.6200000551,42979
07/29/2016,64660,135069.03000000012,724107.670000218,47642
07/30/2016,79203,165784.42000000068,844619.7000004454,56753
07/31/2016,62936,136116.11000000036,665704.7400001154,44732
08/01/2016,48736,103303.69000000031,531511.0099998105,35850
08/02/2016,50052,105243.74999999958,550555.4099998479,37003
08/03/2016,52490,109926.72000000069,582135.7699999078,38862
08/04/2016,56897,121294.33999999927,634833.4900000064,41787
08/05/2016,63129,132858.76999999827,694069.1500001511,46396
08/06/2016,73739,158999.0399999987,782790.4300003366,52693
08/07/2016,62715,139731.34000000046,670063.6300001125,44964
08/08/2016,44959,95833.83000000045,490897.8099998111,33379
08/09/2016,47644,100623.68000000065,518733.36999980523,34940
08/10/2016,52074,106403.64999999979,557068.2599998601,38044
08/11/2016,57447,119222.86999999984,635005.7000000235,42518
08/12/2016,66264,137520.4200000005,729763.2100002276,48939
08/13/2016,76544,161283.49000000025,807975.0100003819,55274
08/14/2016,62210,137031.52999999994,659270.7300000921,45042
08/15/2016,48013,100645.9499999996,518113.79999979475,35342
08/16/2016,48416,98908.08999999939,517506.19999979745,35548
08/17/2016,50274,104743.63999999955,547936.329999846,36971
08/18/2016,53248,112423.30999999963,593089.2599999422,39257
08/19/2016,62451,134024.90000000008,705317.2200001741,46438
08/20/2016,72335,157928.12000000098,780116.6700003267,51976
08/21/2016,62346,137312.64000000086,666807.4500001116,44883
08/22/2016,43386,93610.73999999958,481292.09999982035,32071
08/23/2016,43511,90780.54000000024,475653.72999982006,32399
08/24/2016,46258,97149.70000000046,507604.9999998057,34444
08/25/2016,51443,107352.25000000131,565963.8199998798,37930
08/26/2016,56543,118428.57000000066,623877.2799999976,42258
08/27/2016,65701,141784.25000000067,710590.7600001618,47699
08/28/2016,55704,124055.98000000049,600801.2099999569,40702
08/29/2016,41310,88682.92999999883,452065.2199998346,30704
08/30/2016,40100,86587.54000000059,449894.59999984124,30338
08/31/2016,43850,93343.56999999975,487289.9099998231,33024
09/01/2016,50614,104881.87999999934,555696.5199998559,37645
09/02/2016,54773,117383.89999999896,607884.2699999592,40663
09/03/2016,57149,127927.41000000092,615864.7799999621,41460
09/04/2016,50740,115370.2399999993,550517.5099998413,36926
09/05/2016,39123,91904.66000000031,435439.7599998542,28977
09/06/2016,42608,90625.22999999864,476173.4399998226,32289
09/07/2016,46017,95582.78999999998,515071.00999981177,34362
09/08/2016,51121,108390.70000000062,582426.6699999041,38237
09/09/2016,59498,120935.30999999944,664352.5800000741,44445
09/10/2016,69374,150255.10000000006,760012.4600002677,50782
09/11/2016,56399,127480.24999999997,619993.3599999965,41266
09/12/2016,34239,75955.10999999991,387722.3199998667,26304
09/13/2016,42140,87018.08000000013,473056.1899998253,31938
09/14/2016,48513,97207.26000000005,541743.0599998325,36819
09/15/2016,51426,104084.36999999998,572541.6899998924,38601
09/16/2016,57638,118674.12,644879.8200000469,43180
09/17/2016,68481,149167.71999999974,766578.4700002631,50595
09/18/2016,56728,125450.63000000006,621961.6600000183,41573
09/19/2016,44902,92457.45000000007,503927.66999980726,34034
09/20/2016,44362,91520.03000000033,497663.5299998139,33684
09/21/2016,46005,96059.2100000003,520526.23999980796,35084
09/22/2016,51282,107837.17000000014,579939.8199999013,38391
09/23/2016,59237,121361.91000000044,672624.5100000912,44341
09/24/2016,69569,152015.63000000073,776130.5700003016,50841
09/25/2016,56011,125046.88999999897,615384.2000000011,40956
09/26/2016,42851,87658.44999999981,464084.1599998259,32165
09/27/2016,43754,87125.79999999893,473856.7799998276,32410
09/28/2016,49547,96198.14999999962,529471.9199998089,36812
09/29/2016,52259,101406.97000000093,564873.8799998795,38613
09/30/2016,65483,125329.21999999892,719235.2800002209,48980
10/01/2016,69029,151354.3900000006,761097.8900002792,50873
10/02/2016,56916,129728.87999999979,632009.080000018,41637
10/03/2016,41581,85613.92999999947,436361.0199998342,30983
10/04/2016,41412,83043.830000001,436729.90999984223,31040
10/05/2016,48136,96995.0399999998,524036.9099998052,35949
10/06/2016,51920,106482.70999999957,585221.8399999345,38825
10/07/2016,59973,121412.46999999977,669486.1300000935,44613
10/08/2016,73952,153431.9500000008,786793.2100003418,53161
10/09/2016,59155,126764.29999999964,626024.7700000195,42916
10/10/2016,38609,80948.07000000065,401065.1699998523,28695
10/11/2016,44472,88037.07999999958,474872.2399998188,33229
10/12/2016,42836,87602.55999999976,451863.6599998356,31784
10/13/2016,51870,102745.5600000008,570299.1999998969,38542
10/14/2016,59950,120058.92999999934,668050.3600000964,44966
10/15/2016,71173,148219.6599999998,764334.6200003013,51664
10/16/2016,58130,126246.75999999967,619932.7900000185,42091
10/17/2016,42602,87316.38000000038,456224.7399998318,31799
10/18/2016,45147,90382.07000000081,482229.5099998196,33411
10/19/2016,48110,97003.53999999988,525519.2899998033,35911
10/20/2016,53217,106042.0700000006,582148.619999916,39205
10/21/2016,62610,121183.14999999959,677806.1500001218,46276
10/22/2016,72167,144851.9800000015,743112.4700002576,52160
10/23/2016,56177,121277.16000000031,602945.0499999726,41260
10/24/2016,44730,87258.52000000021,464024.0899998242,32843
10/25/2016,49202,94401.19000000047,511452.79999980336,35734
10/26/2016,50353,96798.82000000011,535526.3999998232,37347
10/27/2016,58001,106469.66999999998,616980.1399999805,42928
10/28/2016,63165,121884.97999999959,685540.3300001445,46910
10/29/2016,71738,152087.90999999995,775195.840000283,52386
10/30/2016,66474,144368.96999999922,721127.7000002662,47707
10/31/2016,48099,93324.75000000028,505007.1399998012,35727
11/01/2016,48954,95525.00999999991,522717.66999979725,36155
11/02/2016,47726,93092.66000000041,510216.239999809,35388
11/03/2016,53226,104030.07000000008,569382.6799998829,39459
11/04/2016,61268,118964.61999999998,661351.4400000762,45295
11/05/2016,68244,140248.23999999845,722937.0000002055,49691
11/06/2016,56454,115398.78999999995,586536.6099999434,40691
11/07/2016,43739,84979.94999999944,460515.18999982544,32507
11/08/2016,40793,79618.57999999967,419004.01999984996,30389
11/09/2016,48787,95686.81000000013,531802.0999998231,36401
11/10/2016,51447,100775.87999999967,565276.0699998869,38427
11/11/2016,58746,112742.97999999947,598282.8499999414,43210
11/12/2016,66679,135494.99000000054,692925.5700001473,48187
11/13/2016,54863,117580.7900000005,585355.9699999384,40236
11/14/2016,43970,88282.97000000023,475210.4499998216,32689
11/15/2016,48119,89250.48000000014,499636.5599998088,35589
11/16/2016,47798,91917.13999999994,516624.8899998033,35690
11/17/2016,52353,100399.62000000017,564844.239999884,38621
11/18/2016,60877,119378.07999999789,661989.9200000854,45088
11/19/2016,70436,139801.6599999985,729889.9300002434,51113
11/20/2016,59386,116330.06000000004,589724.0699999429,42889
11/21/2016,48080,90208.4999999996,499232.06999980495,35840
11/22/2016,50384,95286.46000000018,540159.3699998327,37365
11/23/2016,53297,103019.93999999977,579981.8199999323,39361
11/24/2016,47333,102668.8499999998,491072.18999979645,34367
11/25/2016,41502,83308.55000000044,422790.13999983657,30693
11/26/2016,50221,100307.67,501605.1499997896,36675
11/27/2016,46698,92391.03999999986,458763.1599998169,33876
11/28/2016,40658,78647.26000000045,429119.43999984214,30403
11/29/2016,46397,83551.18999999983,483105.1199998153,34598
11/30/2016,50534,90051.93000000066,520610.3899997946,37321
12/01/2016,53533,98827.71000000036,556780.8499998567,39540
12/02/2016,61516,116793.04999999958,649108.6300000665,45576
12/03/2016,69341,136166.1299999991,707987.0800001721,50209
12/04/2016,54730,112039.59999999977,561127.2999998775,39922
12/05/2016,45268,84508.8099999998,467102.279999821,33427
12/06/2016,53404,92738.58999999981,533405.3099998048,39221
12/07/2016,49445,92784.73000000081,517911.5899998002,36563
12/08/2016,54091,101145.67999999977,570023.1499998936,39861
12/09/2016,65798,121263.25000000064,680760.7000001355,48307
12/10/2016,71726,142593.04999999935,748476.3700002388,52296
12/11/2016,55952,114345.40999999981,578682.7099999238,40533
12/12/2016,45813,88894.97999999991,484141.4599998143,33899
12/13/2016,47144,88727.85999999937,493362.7899998117,34984
12/14/2016,52232,96784.51000000071,543358.9899998321,38574
12/15/2016,62826,111393.26000000189,638883.4400000407,46087
12/16/2016,69311,131247.2799999998,734804.8000002513,51133
12/17/2016,66419,134477.3000000006,686452.4700001387,48264
12/18/2016,58224,117938.51000000072,592354.8799999492,42249
12/19/2016,51104,96008.08999999936,522663.25999978563,37711
12/20/2016,51462,96710.27000000101,539872.1999998272,37990
12/21/2016,53059,102698.96000000037,558424.5999998681,38920
12/22/2016,55038,108033.67000000014,587768.9699999373,40663
12/23/2016,58176,116319.19000000058,623601.230000042,43206
12/24/2016,55955,111496.09999999902,550373.4099998238,40745
12/25/2016,36572,77426.66000000034,363851.89999986766,26502
12/26/2016,31816,63950.569999999716,312557.8499998973,23392
12/27/2016,35943,69480.79999999961,361113.6899998734,26384
12/28/2016,41449,77568.6399999998,411146.5999998426,30525
12/29/2016,42282,78320.15000000047,414053.499999838,31432
12/30/2016,53606,99277.13000000124,525195.2099997647,39398
12/31/2016,64615,125104.94999999978,620653.0699999904,46645
